"Time (Months)","Incentives (%/Month)","Klima Holders (%/Month)","Product Design (%/Month)","Ecosystem Grant (%/Month)","DAO / Treasury (%/Month)","pKlima Holders (%/Month)","01X (%/Month)","APY (%/Year)","APR (%/Year)"
45,0.36787,0.43963,0.05495,0.05495,0.00000,0.03297,0.00000,3.86393,1.07172
46,0.33673,0.40242,0.05030,0.05030,0.00000,0.03018,0.00000,3.02207,0.50698
47,0.30767,0.36769,0.04596,0.04596,0.00000,0.02758,0.00000,2.26475,0.00000
48,0.28066,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.04805,0.00000
49,0.25562,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.85078,0.00000
50,0.23250,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.67143,0.00000
51,0.21121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.50858,0.00000
52,0.19165,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.36088,0.00000
53,0.17372,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.22707,0.00000
54,0.15732,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.10593,0.00000
55,0.14234,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99638,0.00000
56,0.12870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.89736,0.00000
57,0.11628,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.80793,0.00000
58,0.10499,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.72721,0.00000
59,0.09475,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.65438,0.00000
60,0.08546,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.58872,0.00000
